handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
scbaldwin,Scott,3346,6231,1,1,1348,695,49,738
bastienchanot,Bastien,3133,70,1,1,848,484,146,1951
Chizom_,Chizom Echehieuka,2660,43782,1,1,1246,3047,1082,1301
kswint,Kevin Swint,3743,3300,1,1,1055,6672,37,520
AvodrocCustoms,Avodroc,2084,3568,1,1,161,686,7,2538
c00v,Gary Coover,3083,2345,1,1,554,1898,42,972
dvirreznik,Dvir Reznik,3468,28096,0,1,3916,929,301,4924
KP1877,KP1877,3081,22779,0,1,345,1343,51,1551
clx_samsung,CLX Samsung,2297,5549,1,1,2675,793,146,37317
ryanoemge,Ryan O. Emge,2824,5176,1,1,1238,1785,254,1237
tuxnet,Andrés Luquetta,3403,26078,1,1,1035,215,136,2057
RobCuts,Rob Vawter,1912,2672,0,1,1139,2382,11,328
argiope,james,3313,5279,1,1,211,6177,116,1458
NetSanityMobile,Netsanity,1313,8149,1,1,8269,4080,318,8840
nanotechent,NanoTech Ent,2949,1721,1,1,2130,959,25,3235
DKiaAnderson,D'KIA ANDERSON ॐ,3028,13960,1,1,2218,1119,59,3289
Eco_gen,Eco-generation | 꿈푸,2775,4339,1,1,2485,466,66,3032
AppQuality,App Quality Alliance,2968,1144,1,1,930,29,109,1173
ktd_NYC,Katie Davies,2695,7727,1,1,1167,251,26,660
LRWMotiveQuest,LRWMotiveQuest,3416,1051,1,1,1984,106,92,1288
varun_iiml,Varun Reddy Sevva,3072,19023,1,1,341,3082,64,846
luisbg,luisbg,3224,5142,1,1,1960,7814,117,1121
vijay2win,Vijay,3094,1584,1,1,184,137,27,845
biovf,David Sena,2439,5466,1,1,2249,4691,45,695
dan_heap,Dan Heap,2398,569,1,1,1018,39,56,1976
Kidogo_Kidogo,Kidogo Kidogo,1578,682,0,1,1359,17032,41,1127
VivaLaBamb3r,Amber Bamber,3097,460,1,1,1364,424,3,368
kristianvatto,Kristian Vättö,2519,4370,1,1,299,87,22,763
theotherEros,Eros Marcello,2815,59,1,1,143,289,6,2332
analogVarun,Varun Mittal 海王वरुण,2699,5820,1,1,580,1173,164,1336
khana3152,Samsung galaxy s7,809,675,0,1,2051,853,6,1474
laszlogombos,Laszlo Gombos,3015,520,0,1,1017,10507,40,449
Vi2_Samsung,Viserys,1727,14842,1,1,471,3545,1,592
SoundsmartMosta,Soundsmart (Samsung),2581,2459,1,1,2373,9,1,1043
Samsung_Notes,Samsung Mobile,1204,125417,1,1,37,108,5,533
SamsungGearS,Samsung Gear S,1107,3321,1,1,1,0,29,824
Samsung360Gear,Samsung Gear 360,446,13,0,1,11,85,3,341
samsung_rumors,Samsung Rumors,1842,2563,1,1,255,1,29,267
nfconnolly,hinghamneil,3356,242,1,1,890,27,4,294
JustinLeeDoyle,Justin Lee Doyle,2300,3289,1,1,1814,9,37,1656
Samsung_HealthC,Samsung Healthcare,647,112,1,1,622,50,8,539
samsungGAILaxy,G a i l,1621,9400,1,1,180,17147,0,334
TeamFragsters,Fragsters,563,1354,1,1,137,1834,9,1076
Samsungln52a650,Samsung ln52a650,3063,12477,1,1,4677,1,8,4588
jfrydakis,Jason Frydakis,3784,3902,0,1,419,419,35,636
diarmuidmallon,Diarmuid Mallon,3062,818,1,1,1730,79,81,1343
kapildsharma,Kaps,2619,26534,1,1,659,3430,33,603
GlennCameronjr,Glenn Cameron Jr,3082,2756,1,1,280,1530,149,33539
jamesmorrowhes,James-Morrow,2886,4808,1,1,451,3909,24,1057
Poppybead,Rebecca Orleans,2771,19970,1,1,2048,7161,91,1834
ibrahimatlinux,Ibrahim Haddad,2526,1074,1,1,614,78,92,810
lovefone,Lovefone,2620,2012,1,1,260,312,13,838
IGiSkate,IGi Skate,720,901,1,1,161,593,0,751
EthanRasiel,Ethan Rasiel,3136,2272,0,1,747,510,68,1608
Lady_Ada_King,Ada Rose 🏳️‍🌈✨,2495,19554,1,1,397,14910,201,3474
_rmf20,Rasha M. F,3038,590,1,1,591,33,6,348
talhaghannam,A Tweet of Truth,2825,6550,1,1,1260,70,15,997
micorsica,marianne ridgewell,2085,32335,1,1,1817,9272,141,2157
GwanhooLee,Gwanhoo Lee,3112,609,1,1,260,13,28,395
mcdade_jr,Marcus McDade,2370,1709,0,1,320,633,0,511
DjDrapes,DavidDrapes,3047,20974,1,1,638,513,34,1046
kapoorsalil,salil kapoor,2651,3086,0,1,368,85,71,1066
TxTechGooner,Jämës,2760,28845,1,1,886,16,49,1442
JJOnTech,Jeanine Jue,2958,574,1,1,1897,25,64,1759
RealBrianWarner,Brian Warner,900,2696,1,1,320,1343,50,385
ampedbypower,Amped,1549,1761,1,1,694,1045,6,825
scotpoorman,Scot Poorman,2706,44279,0,1,370,164,262,1138
crbazevedo,Carlos R. B. Azevedo,2791,5913,1,1,848,6937,276,1054
calllet,Call Let,3095,15877,0,1,1858,0,19,1413
juano2310,Juan Pablo Risso,3540,715,1,1,306,677,26,1052
