handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
Harael14,Kahlan,1901,27641,1,1,2097,17748,54,1418
shermansez,John Sherman,2008,6506,1,1,1364,19997,20,339
mashworth928,Principal Ashworth,2077,2469,1,1,293,948,34,391
Poliboggle,POLIBOGGLE,2063,21305,1,1,1185,13099,26,906
jilldilibero,Jill DiLibero,3072,16726,1,1,190,0,30,356
theUSpresident,Barack Obama,2647,137,1,1,86,0,907,56773
NoriakiSeragaki,Barack Obama,1597,13591,0,1,233,3374,7,79
RubyDaughter,HAN,3070,39,1,1,2231,17204,5,578
eizayah_,Eizayah Bull,2922,13624,0,1,329,9559,3,604
azannaphx,AnnaB,3044,88747,0,1,5139,31234,225,5563
jugalbandis,おおばん,2426,9947,1,1,2026,44103,16,1488
saccoo,Samantha Sacco,3120,4009,1,1,685,968,7,252
RevluvLove,Alvin Love,2058,82,0,1,364,95,4,442
Mr_CEO10,C.J.,3071,10058,0,1,442,111,7,297
laura_davies24,Laura Davies,3090,2521,1,1,471,284,3,188
thefinalyeardoc,The Final Year,23,53,0,1,19,50,1,98
Kat_Muller,Katherine Muller,2031,1330,0,1,1024,407,19,517
FutureGillian,Gillian Harlick,2658,8278,1,1,481,1452,36,523
peterjroth,Peter J. Rothenberg,3130,2718,1,1,778,381,10,538
LiviRichelle,So Cal Mountain Gal,3123,71957,1,1,473,90815,33,627
deedeezy1,Dee,1812,10214,1,1,1136,22618,5,868
xX_BarryBama_Xx,Barack Hussein Obama,252,9,0,1,32,0,0,45
DeloisHollinger,Dee Covfefe,2144,7335,0,1,2260,16709,10,714
BarackObamaKing,Barack Obama,785,10580,0,1,707,1,0,188
ChloeLasek,chlo🌻,2120,23687,1,1,600,25977,1,1120
EricCarlson7,Eric Carlson,3143,1164,1,1,936,25,17,264
BarackSkis,Obama on a Jet Ski,208,100,0,1,203,20,0,13
ABC_1968,AssocBlckCollegians,2556,3060,1,1,427,30,8,519
chandachisala,Chanda Chisala,3082,64,0,1,350,24,8,480
allnews32,Allnews,414,1318,1,1,1438,1454,0,1603
scarlettying,Scarlett Ying,3553,53,1,1,212,3135,3,198
sunshinegloria,gloria williams,3141,1257,1,1,0,112,3,178
4MoreYrsReElecO,ILIWIWUITMABOIP,2790,43655,1,1,313,0,14,460
BO_Must_Go_2012,I.M. Freedomlover,2222,7316,1,1,1840,220,30,1215
Barack_Obama00,Barack H. Obama,195,27,0,1,1243,12,1,233
TomP2010,Common Sense,2525,5437,0,1,2288,550,10,872
lbratSC,Tisha,1914,9688,0,1,141,1711,4,223
MissCali2you,music is life,3003,34434,0,1,197,278,6,370
sil_marli,marli de  paula sil,1564,16786,0,1,1993,9685,6,1138
blackhistoryspk,BlackHistorySpeaker,2439,1582,1,1,481,275,2,379
CamxChasin12,CRD™,1366,8181,1,1,718,10288,1,765
ObeseChess,Spicy Big Dad,1973,56216,1,1,273,181785,28,1011
Robinviews,Robin Christian,1302,960,1,1,316,2182,5,545
wethepeopledvd,WeThePeopleDVD,2486,4266,1,1,1424,222,5,799
ObamaHaircuts,Obama Haircuts,982,32,1,1,43,54,27,24227
solomonmutasa,Solo_InspiredAfrican,2199,1646,1,1,1247,282,20,615
ThatOneCHAMP_,Ty from Hampton,2599,8895,1,1,1051,13977,8,648
Barbara15010332,Barbara Smith,926,4942,0,1,497,1945,22,377
thiswaltz5,Voltaire'sGardener,409,34978,0,1,650,25220,38,784
__Declan,Declan,2548,10520,1,1,114,29,4,124
Josh_Davies10,Joshua Davies,1731,737,0,1,318,417,0,121
pcam,PC,3194,101676,1,1,8235,1594,301,7507
cupidzclozet,Robin S. Romans,3110,13872,1,1,6034,19215,103,6039
Wonderforall,H.Y,2627,25845,1,1,210,1124,4,5350
Mad1inUSA,Klatu,2078,20901,0,1,716,2817,35,1068
Lazy_Engg,Barack Obama,1380,6004,0,1,318,4957,3,141
BigE_DabTv,BigE,1791,6066,1,1,1032,89,1,1173
izzy_real09,Barack Obama,9,38,0,1,76,162,0,25
ToniTarango,Toni Tarango,2055,3588,1,1,94,838,12,55
Mama4Obama1,#GamecockMama,3073,175047,1,1,583,76,169,5147
Alex_Vanhuyse,Alexandra Vanhuyse,1309,340,0,1,855,376,67,452
DevonteHamil,Devonte Hamilton,2370,9537,1,1,624,7442,5,511
CAP_Obama,CAP Barack Obama,102,9,0,1,32,3,1,46
flyfisher_,Donna L,1982,8930,1,1,792,5945,25,706
ArtHouseObama,Barack Obama,360,42,0,1,70,50,1,47
Maddie_Turner20,Maddie Turner,2093,15521,1,1,206,14006,4,1038
BOMLAFRIENDS,FRIENDS of BOMLA,1168,356,1,1,224,141,5,262
graham2398,Graham,1819,5587,0,1,557,19105,4,650
luvofcountry2,distressedcitizen,2974,2711,1,1,537,3637,3,219
zombama,Zombie Barack Obama,3102,856,1,1,13,18,97,5810
Plantflowes,Molly  KimGuard,2178,489905,1,1,7911,88882,515,11119
obamacaptweets,Barack Obama,469,16,0,1,51,8,0,44
not_so_basic,not barack obama,1727,367,0,1,77,1486,2,42
mrosenPTMME16,Pres. Barack Obama,380,32,1,1,40,7,0,50
Barack7Obama,#BarackObama,1625,326,0,1,318,3,0,233
chugsnation619,Barack GLObama,1745,13219,1,1,1223,17371,2,1318
Obama_Biden2012,Obama-Biden2012,2568,1115,1,1,2169,7,61,1914
Pro_Obama2012,Jewel Hussein Obama,1980,52856,0,1,2245,19359,46,33204
oiheejun,ㅤㅤj ♡ h #BLUE,322,2851,1,1,144,3448,4,1224
demilowe2,Demi 🍎🤘🏼,1761,12770,1,1,523,8436,5,1976
ObamaImagines,Barack Obama,1497,956,0,1,426,907,5,1673
ColorArousal,Francis L. Holland,2223,67261,1,1,704,36478,84,1482
cherijb2,I Love  Barack Obama,630,1787,0,1,1823,1621,0,1318
Vets4Obama,Veterans for Obama,2334,712,1,1,171,0,92,9659
DarkBarackObama,Jeremiah Blackmon,1970,6510,1,1,341,1989,2,721
ObamaGold,Obama Barack News,1819,17420,1,1,29086,0,16,41375
skylanotskylar,Barack Obama,2307,4282,1,1,71,12526,0,160
ymonge,Yolanda Monge,2705,10302,1,1,812,173,239,4218
UNCLEPAUL1914,Barack Obama Jr.,2054,1705,1,1,210,2,0,278
ObamaLouverture,Barack Obama,3073,30821,1,1,16,0,24,1349
HEDASTATE,baRACK$ Obama,2722,8434,0,1,306,92,5,282
eclark1st,Eric V. Clark,3046,20844,1,1,1873,7819,37,1656
BarackObamaexcu,Barack Obama excuses,1782,313,0,1,1825,227,3,795
lambertslovelee,THERESA,3109,55571,1,1,2078,16753,122,4448
WWEPresident,WWE's Barack Obama,2285,28,1,1,0,0,54,9363
0bamma,Obama Daily,1853,14180,1,1,2424,0,2,3029
gide93,Barack Obama,2397,26278,1,1,254,347,0,300
ArabicObama,Barack Hussein Obama,2342,59181,0,1,962,132,1343,510751
lovefaye1998,Barack Obama,2626,8000,1,1,808,7934,2,544
Barack_2017,Barack Obama,409,24,1,1,514,19,2,470
ObamaAlerts,Barack Obama News,2401,14205,0,1,0,0,25,1226
obamanew,Barack Obama News,2691,1798,1,1,1792,7,20,954
BarackObamaDems,BarackObamaDemocrats,1639,12,0,1,384,0,8,262
BarackObamaArt,Barack Obama Artwork,3039,108,0,1,582,0,13,984
accionejecutiva,Acción Ejecutiva,1036,811,0,1,362,110,13,5530
WithoutObama,Sans Barack Obama,1969,238,1,1,1209,1,7,1107
mariaso1200,Maria1200,2707,32851,0,1,2300,20426,36,1475
DipSetDC,Desire with an e,2702,6647,0,1,420,93,3,90
_FlowLikePoetry,Barack Obama,2241,3867,1,1,572,266,0,340
soulofobama,barack obama,2922,353,1,1,808,0,8,1050
JustReallyFab,Tash,3131,106873,1,1,497,558,10,1201
ObamaAnalysis,TheBarackObamaWatch,3134,66,0,1,490,0,0,159
patricepannell5,Patrice Pannell,3072,17580,1,1,1618,34642,32,1286
arrikamariee,barack obama,249,3895,1,1,435,2578,0,244
BarackObamai,Barack Obama,521,102781,0,1,483,28,41,303
BarackObamaNws,Barack Obama,2427,419,1,1,1745,0,14,1210
barakobama,Barack Obama,3099,12,0,0,0,0,143,16592
osubusmaj,#RESISTMORE,3081,7138,0,1,1537,10828,3,5415
stalexander,Steve Alexander,3319,8990,1,1,1576,1602,13,551
autumninvermont,autumn in vermont,3703,7961,1,1,677,3066,12,892
moaningjackj,barack obama,523,882,0,1,543,655,0,188
SassyBruce,Barack Obama,3087,11110,1,1,320,3099,2,161
carleab,AlexaOff,3812,18428,1,1,631,902,66,768
nascarmadame,SuperWoman#48 #SE7EN,2025,35486,0,1,2106,21718,14,698
dirt215,Barack Obama,523,15,0,1,2146,15,0,2038
ForBarackObama,ForBarackObamaOnline,3132,248,1,1,305,0,5,248
iianclarkk,barack obama stan,1398,10585,1,1,3,25369,8,213
_antonio4real,â ñ t ø ń ï ō 🤙🏿®,3110,243801,1,1,674,755,76,2507
j0urdan,St3ph4n 🌻,3123,46780,1,1,935,4339,45,877
2005Cosmic,Shann,3050,58520,0,1,2069,44660,11,1671
BorackObama,Barack Obama,1518,8,0,1,29,9,4,926
ChrisGatesFace,Chris Gates,3334,243,1,1,4095,152,16,4749
HaayYoh,Barack Obama,2546,3412,1,1,176,417,2,160
RayThaJerk,Captain Obvious,2799,118157,1,1,228,65,17,2869
db771,🤓donnabella😎,3292,24407,1,1,2150,5597,25,1248
atlamb,Andrew Lambert,3103,23868,0,1,1051,160,36,776
BarackObama_Ar,باراك حسين أوباما,3525,19683,1,1,1963,4393,1166,355945
ucla4me,Lori,3343,1956,1,1,534,1784,12,1447
DailyMePolitics,DailyMe Politics,3277,20080,1,1,13,0,51,1197
kpillai,Kavita Pillai,3327,3691,1,1,163,79,12,146
DeeVirgo914,Dee,1839,4342,0,1,2329,20154,43,1675
obama2008,Barack Obama,3826,18,1,1,128,0,9,2504
passion_prosper,Tigist,2728,13001,1,1,1429,4285,4,1661
blkthght06,Ivan Campbell,3169,19169,1,1,1475,675,16,445
isabellegirlxo,#UnapologeticBitch,1555,1046,1,1,968,57179,19,1525
Boston_Bull,MassHysteria,3087,63,1,1,1294,197,12,1358
BarackHitlerO,Impeach Obama,1614,689,0,1,146,39,1,188
alexandrablair,Alexandra,3084,402,1,1,1618,7,1,336
ValerieForPeace,Peace Seeker,3006,20278,1,1,4016,2569,99,4565
obamaonyourmama,Barack Obama,525,26,1,1,20,1,0,25
MaxxSteeltheGOD,Sean Walthour,3082,34478,1,1,1120,56,29,1122
jannie_aminata,Jannie Kamara :),1498,37272,1,1,2070,70174,28,1213
IrresistableWmn,Michelle Kelley,2163,2993,1,1,1819,626,34,1537
gavinpatel,Gavin Patel,2935,8187,1,1,1417,333,7,441
narbitrary,fly fly fly,3388,14962,1,1,42,2189,24,381
edumak8,BiBi,1847,25970,1,1,1279,3016,58,1426
xanaxfIavor,jay,219,2458,1,1,99,5846,13,431
solidadvice1981,Robin,1312,42714,1,1,1425,51149,1,952
NoFilterSkyee,R.E.A.L™,1823,2047,1,1,7096,86,23,9510
Crowface19,Luke Crowson,2404,9466,1,1,532,882,0,372
Blkisbeautiful,((Blkisbeautiful)),3106,39889,1,1,2116,18847,48,728
kelseyognibene,kelsey ognibene,3344,10027,1,1,573,4257,7,489
PodestaEmails,PodestaEmails,341,602,0,1,1768,17,8,1357
tylergrangerIA,Tyler Granger,1307,1328,1,1,1435,12229,11,385
DonDeStark,Don Strike,2554,1256,1,1,3825,1,19,5439
YaBrack,Barack Obama,1619,5,0,1,1,0,1,3129
iAmber_,Amber,3113,23942,1,1,2692,99,71,3144
flatbushsarah,sarah,2993,53462,1,1,767,44048,3,1316
glamarlena,Marlena,3031,4976,1,1,678,2490,15,890
itsajali,Ajali,1207,40598,0,1,332,15113,15,541
kbrown125,Gotzerochill,1428,31935,0,1,686,24528,16,705
m_cash2,M.J.Casher,2328,83156,1,1,1027,34371,22,1172
BarackObamaU,Barack Obama,270,312,0,1,155,496,0,171
66korrad,♎️ MR.KORRAD,2110,4472,0,1,2101,17223,62,2494
BizarroBarry,Barack H. Obama,233,44,1,1,566,150,0,128
tigerpawobrien,James Patrick,1807,7051,0,1,432,5778,4,534
pancakesnstuff,frijoles,3009,18035,1,1,232,9816,2,426
memethagreat,MEMETHAGREAT,2419,9847,1,1,217,2761,3,193
chrisblitzer,chrisblitzer,379,8497,0,1,1704,194,9,778
dameocrat,No Alternative,3096,24163,1,1,493,100,68,380
DjBarack_obama,Dj Barack Obama,1750,1625,0,1,355,0,0,295
TheBodaBoat,Colon,1706,10126,1,1,448,111150,6,296
Bev_Didier,B Didier,3103,38392,1,1,1109,16295,22,1016
eyeofthetiiger,Susan B. Trippin,3124,8492,1,1,550,948,14,395
tessadauenhauer,tessa,2267,44871,1,1,593,54856,9,1317
FBPreZident,FBPreZident,3030,232,1,1,2300,127,1,493
SHOOK4iSAiAH,BARACK OBAMA,945,186,1,1,88,369,1,124
karyeung,kary,3078,16695,1,1,396,10836,3,424
CocciaStella,CocciaStella,3232,1213,1,1,1601,53,7,400
EthanShaffer97,Low Five Ghost,2158,6894,1,1,763,6301,27,737
KietonP,Barack Obama,1563,48,0,1,280,77,0,59
